,sst2,qqp,mnli,qnli,boolq,ag_news,imdb,snli,rotten_tomatoes,yelp_polarity,eraser_multi_rc,wiki_qa,scitail,emotion,tweet_eval_hate,avg
microsoft/deberta-v3-base,0.9541284403669725,0.922631709126886,0.8977075904228222,0.9377631338092624,0.828440366972477,0.95,0.96084,0.933042064621012,0.9080675422138836,0.9838947368421053,0.8335407591785936,0.9447493596780095,0.9654907975460123,0.936,0.796,0.9168197667185357
facebook/muppet-roberta-base,0.963302752293578,0.9156814246846401,0.8767193071828834,0.9311733479773019,0.8299694189602447,0.9469736842105263,0.95676,0.9171916277179435,0.9174484052532833,0.9815,0.813627878033603,0.9568240029271863,0.9562883435582822,0.9335,0.77,0.911130679519965
funnel-transformer/medium-base,0.9426605504587156,0.9185258471432105,0.8875191034131431,0.9269632070291048,0.8336391437308869,0.94,0.95832,0.927961796382849,0.9099437148217636,0.9828684210526316,0.7800248911014313,0.9454811562385657,0.9693251533742331,0.935,0.777,0.9090155323164357
roberta-base,0.948394495412844,0.9159782339846648,0.8736627610799796,0.9264140582097748,0.7990825688073394,0.9485526315789473,0.95448,0.9178012599065231,0.8864915572232646,0.9813947368421052,0.783758556316117,0.946944749359678,0.9493865030674846,0.934,0.804,0.9046894741192483
funnel-transformer/small-base,0.9438073394495413,0.915607222359634,0.8823229750382068,0.9211056196229178,0.7914373088685015,0.9451315789473684,0.95576,0.9214590530380004,0.9061913696060038,0.9814473684210526,0.7675793403858121,0.9447493596780095,0.9631901840490797,0.9315,0.751,0.9014859146309416
google/electra-base-discriminator,0.944954128440367,0.916992332426416,0.8848700967906266,0.9289767526999817,0.7498470948012232,0.9446052631578947,0.95368,0.922881528144686,0.8958724202626641,0.9815,0.7710018668326073,0.9421880717160629,0.9493865030674846,0.934,0.775,0.8997170705560009
google/bigbird-roberta-base,0.9380733944954128,0.9104625278258719,0.8724401426388181,0.9092073952041003,0.782262996941896,0.9430263157894737,0.94912,0.9179028652712863,0.8968105065666041,0.9805263157894737,0.7078406969508401,0.9549945115257958,0.9371165644171779,0.934,0.764,0.8931856155611165
distilroberta-base,0.9231651376146789,0.907642839475637,0.8411614875191035,0.9139666849716274,0.7370030581039755,0.9486842105263158,0.9436,0.9005283478967689,0.8649155722326454,0.9786842105263158,0.701929060360921,0.9396267837541163,0.9309815950920245,0.9385,0.793,0.8842259325382752
albert-base-v2,0.9105504587155964,0.9015829829334653,0.83841059602649,0.9123192385136372,0.7391437308868501,0.9428947368421052,0.93772,0.9049989839463524,0.8621013133208255,0.9768684210526316,0.7532669570628501,0.9480424442005122,0.9555214723926381,0.9405,0.729,0.8835280890595969
bert-base-uncased,0.9231651376146789,0.9059361860004946,0.8379011716760061,0.9115870400878638,0.7103975535168195,0.9406578947368421,0.93776,0.9078439341597236,0.8574108818011257,0.9773684210526316,0.7069072806471687,0.9568240029271863,0.9424846625766872,0.9375,0.778,0.8821162777864818
squeezebert/squeezebert-uncased,0.9048165137614679,0.9020776651001732,0.8141619969434539,0.8951125755079626,0.7259938837920489,0.9436842105263158,0.92692,0.8877260719365982,0.8348968105065666,0.9749473684210527,0.7031736154324829,0.9436516648371752,0.9386503067484663,0.9285,0.758,0.8721541789009175
gpt2,0.9208715596330275,0.8950284442245857,0.8205807437595517,0.8866922936115688,0.6819571865443425,0.945921052631579,0.9414,0.8866084129242024,0.8761726078799249,0.9770263157894736,0.627255756067206,0.9524332235638493,0.9102760736196319,0.937,0.761,0.8680149113499295
distilgpt2,0.9036697247706422,0.8793964877566164,0.7842078451349974,0.8544755628775398,0.671559633027523,0.9460526315789474,0.92884,0.8712660028449503,0.8414634146341463,0.9728947368421053,0.6742377100186683,0.9414562751555068,0.8512269938650306,0.923,0.731,0.8516498012337781
EleutherAI/gpt-neo-125M,0.8841743119266054,0.8753895622062825,0.7653591441670912,0.8231740801757276,0.6798165137614679,0.9326315789473684,0.9158,0.8730948994106889,0.8264540337711069,0.9687894736842105,0.6456129433727442,0.9407244785949506,0.8811349693251533,0.9285,0.703,0.8429103992895597
google/mobilebert-uncased,0.4908256880733945,0.6318327974276527,0.3544574630667346,0.4946000366099213,0.3782874617737003,0.25,0.5,0.3382442592968909,0.5,0.5,0.5482265090230243,0.9487742407610684,0.5038343558282209,0.275,0.573,0.48580552079070716
