,model,bs,seq_len,speed
0,albert-base-v2,1,16,0.02792196273803711
1,bert-base-uncased,1,16,0.03283953666687012
2,distilgpt2,1,16,0.016492891311645507
3,distilroberta-base,1,16,0.015004205703735351
4,EleutherAI/gpt-neo-125M,1,16,0.03135395050048828
5,facebook/muppet-roberta-base,1,16,0.031703615188598634
6,funnel-transformer/medium-base,1,16,0.03839859962463379
7,funnel-transformer/small-base,1,16,0.029111385345458984
8,google/bigbird-roberta-base,1,16,0.052491044998168944
9,google/electra-base-discriminator,1,16,0.031126928329467774
10,google/mobilebert-uncased,1,16,0.026936960220336915
11,gpt2,1,16,0.032459354400634764
12,microsoft/deberta-v3-base,1,16,0.056388044357299806
13,roberta-base,1,16,0.03035292625427246
14,squeezebert/squeezebert-uncased,1,16,0.016541576385498045
15,albert-base-v2,1,32,0.026088428497314454
16,bert-base-uncased,1,32,0.03568763732910156
17,distilgpt2,1,32,0.01891465187072754
18,distilroberta-base,1,32,0.017982292175292968
19,EleutherAI/gpt-neo-125M,1,32,0.03530206680297852
20,facebook/muppet-roberta-base,1,32,0.03495659828186035
21,funnel-transformer/medium-base,1,32,0.04909205436706543
22,funnel-transformer/small-base,1,32,0.036845970153808597
23,google/bigbird-roberta-base,1,32,0.05407605171203613
24,google/electra-base-discriminator,1,32,0.033043432235717776
25,google/mobilebert-uncased,1,32,0.026451826095581055
26,gpt2,1,32,0.03740153312683105
27,microsoft/deberta-v3-base,1,32,0.05979952812194824
28,roberta-base,1,32,0.03281736373901367
29,squeezebert/squeezebert-uncased,1,32,0.029441452026367186
30,albert-base-v2,1,64,0.03651652336120605
31,bert-base-uncased,1,64,0.040793228149414065
32,distilgpt2,1,64,0.0210906982421875
33,distilroberta-base,1,64,0.02132244110107422
34,EleutherAI/gpt-neo-125M,1,64,0.042402219772338864
35,facebook/muppet-roberta-base,1,64,0.04107122421264649
36,funnel-transformer/medium-base,1,64,0.06719527244567872
37,funnel-transformer/small-base,1,64,0.05303211212158203
38,google/bigbird-roberta-base,1,64,0.06623530387878418
39,google/electra-base-discriminator,1,64,0.04109930992126465
40,google/mobilebert-uncased,1,64,0.03851108551025391
41,gpt2,1,64,0.04396390914916992
42,microsoft/deberta-v3-base,1,64,0.07265324592590332
43,roberta-base,1,64,0.039343070983886716
44,squeezebert/squeezebert-uncased,1,64,0.030298805236816405
45,albert-base-v2,1,128,0.04847431182861328
46,bert-base-uncased,1,128,0.05178155899047852
47,distilgpt2,1,128,0.027206230163574218
48,distilroberta-base,1,128,0.026599550247192384
49,EleutherAI/gpt-neo-125M,1,128,0.05359954833984375
50,facebook/muppet-roberta-base,1,128,0.05034170150756836
51,funnel-transformer/medium-base,1,128,0.0817530632019043
52,funnel-transformer/small-base,1,128,0.058520269393920896
53,google/bigbird-roberta-base,1,128,0.0744901180267334
54,google/electra-base-discriminator,1,128,0.051070785522460936
55,google/mobilebert-uncased,1,128,0.050555992126464847
56,gpt2,1,128,0.0549379825592041
57,microsoft/deberta-v3-base,1,128,0.0883523941040039
58,roberta-base,1,128,0.051473236083984374
59,squeezebert/squeezebert-uncased,1,128,0.043180418014526364
60,albert-base-v2,1,256,0.07454748153686523
61,bert-base-uncased,1,256,0.07354650497436524
62,distilgpt2,1,256,0.03975176811218262
63,distilroberta-base,1,256,0.038402557373046875
64,EleutherAI/gpt-neo-125M,1,256,0.08167228698730469
65,facebook/muppet-roberta-base,1,256,0.07721457481384278
66,funnel-transformer/medium-base,1,256,0.11895918846130371
67,funnel-transformer/small-base,1,256,0.08238964080810547
68,google/bigbird-roberta-base,1,256,0.09639039039611816
69,google/electra-base-discriminator,1,256,0.07720661163330078
70,google/mobilebert-uncased,1,256,0.07277064323425293
71,gpt2,1,256,0.08278822898864746
72,microsoft/deberta-v3-base,1,256,0.1318521022796631
73,roberta-base,1,256,0.07603716850280762
74,squeezebert/squeezebert-uncased,1,256,0.06104211807250977
75,albert-base-v2,1,512,0.14439015388488768
76,bert-base-uncased,1,512,0.16684322357177733
77,distilgpt2,1,512,0.07111577987670899
78,distilroberta-base,1,512,0.06651029586791993
79,EleutherAI/gpt-neo-125M,1,512,0.15094351768493652
80,facebook/muppet-roberta-base,1,512,0.1370865821838379
81,funnel-transformer/medium-base,1,512,0.2374786376953125
82,funnel-transformer/small-base,1,512,0.1647592544555664
83,google/bigbird-roberta-base,1,512,0.16793975830078126
84,google/electra-base-discriminator,1,512,0.19227128028869628
85,google/mobilebert-uncased,1,512,0.10398387908935547
86,gpt2,1,512,0.14813523292541503
87,microsoft/deberta-v3-base,1,512,0.2414400100708008
88,roberta-base,1,512,0.14012913703918456
89,squeezebert/squeezebert-uncased,1,512,0.09825315475463867
90,albert-base-v2,2,16,0.029915618896484374
91,bert-base-uncased,2,16,0.03534598350524902
92,distilgpt2,2,16,0.018900346755981446
93,distilroberta-base,2,16,0.018716192245483397
94,EleutherAI/gpt-neo-125M,2,16,0.03789358139038086
95,facebook/muppet-roberta-base,2,16,0.03502554893493652
96,funnel-transformer/medium-base,2,16,0.04901199340820313
97,funnel-transformer/small-base,2,16,0.037820863723754886
98,google/bigbird-roberta-base,2,16,0.05802960395812988
99,google/electra-base-discriminator,2,16,0.03538589477539063
100,google/mobilebert-uncased,2,16,0.02738471031188965
101,gpt2,2,16,0.03720302581787109
102,microsoft/deberta-v3-base,2,16,0.06708416938781739
103,roberta-base,2,16,0.03529248237609863
104,squeezebert/squeezebert-uncased,2,16,0.027851963043212892
105,albert-base-v2,2,32,0.03475728034973145
106,bert-base-uncased,2,32,0.04150857925415039
107,distilgpt2,2,32,0.022962570190429688
108,distilroberta-base,2,32,0.022059535980224608
109,EleutherAI/gpt-neo-125M,2,32,0.043247318267822264
110,facebook/muppet-roberta-base,2,32,0.04218029975891113
111,funnel-transformer/medium-base,2,32,0.06517539024353028
112,funnel-transformer/small-base,2,32,0.04816131591796875
113,google/bigbird-roberta-base,2,32,0.06353597640991211
114,google/electra-base-discriminator,2,32,0.04328322410583496
115,google/mobilebert-uncased,2,32,0.04015450477600098
116,gpt2,2,32,0.045616865158081055
117,microsoft/deberta-v3-base,2,32,0.06904358863830566
118,roberta-base,2,32,0.04432754516601563
119,squeezebert/squeezebert-uncased,2,32,0.03683247566223145
120,albert-base-v2,2,64,0.052206563949584964
121,bert-base-uncased,2,64,0.05537252426147461
122,distilgpt2,2,64,0.028389930725097656
123,distilroberta-base,2,64,0.028054237365722656
124,EleutherAI/gpt-neo-125M,2,64,0.05671820640563965
125,facebook/muppet-roberta-base,2,64,0.05552582740783692
126,funnel-transformer/medium-base,2,64,0.08086509704589843
127,funnel-transformer/small-base,2,64,0.05637822151184082
128,google/bigbird-roberta-base,2,64,0.07210655212402343
129,google/electra-base-discriminator,2,64,0.049763154983520505
130,google/mobilebert-uncased,2,64,0.04491701126098633
131,gpt2,2,64,0.056677389144897464
132,microsoft/deberta-v3-base,2,64,0.0829505443572998
133,roberta-base,2,64,0.049624395370483396
134,squeezebert/squeezebert-uncased,2,64,0.04053478240966797
135,albert-base-v2,2,128,0.0726053237915039
136,bert-base-uncased,2,128,0.07103362083435058
137,distilgpt2,2,128,0.03769068717956543
138,distilroberta-base,2,128,0.03777389526367188
139,EleutherAI/gpt-neo-125M,2,128,0.07708187103271484
140,facebook/muppet-roberta-base,2,128,0.07213788032531739
141,funnel-transformer/medium-base,2,128,0.10278511047363281
142,funnel-transformer/small-base,2,128,0.07674918174743653
143,google/bigbird-roberta-base,2,128,0.09731092453002929
144,google/electra-base-discriminator,2,128,0.07503972053527833
145,google/mobilebert-uncased,2,128,0.06292715072631835
146,gpt2,2,128,0.07831406593322754
147,microsoft/deberta-v3-base,2,128,0.11862411499023437
148,roberta-base,2,128,0.07787923812866211
149,squeezebert/squeezebert-uncased,2,128,0.05782580375671387
150,albert-base-v2,2,256,0.13103923797607422
151,bert-base-uncased,2,256,0.12581486701965333
152,distilgpt2,2,256,0.06372714042663574
153,distilroberta-base,2,256,0.06140494346618652
154,EleutherAI/gpt-neo-125M,2,256,0.13499536514282226
155,facebook/muppet-roberta-base,2,256,0.12594504356384278
156,funnel-transformer/medium-base,2,256,0.17605786323547362
157,funnel-transformer/small-base,2,256,0.12069106101989746
